ticker,close,date,high,low,month,open,volume,year,day,Month_Year,Monthly_Return
COALINDIA,531.5,2024-08-07 05:30:00,532.8,507.7,8,507.7,18293730,2024,7,2024-08,0.06385108086469171
EICHERMOT,4830.6,2024-08-09 05:30:00,4853.0,4716.95,8,4805.65,1697560,2024,9,2024-08,0.05543053158251232
TRENT,7242.1,2024-08-28 05:30:00,7325.0,6950.25,8,6990.0,2358476,2024,28,2024-08,0.05417837231983014
BPCL,367.3,2024-09-27 05:30:00,370.5,346.35,9,347.0,40756678,2024,27,2024-09,0.06432917994784115
M&M,2950.85,2024-09-20 05:30:00,2960.0,2798.5,9,2798.7,12492909,2024,20,2024-09,0.0548168007149239
MARUTI,13383.8,2024-09-26 05:30:00,13411.0,12830.0,9,12835.0,1471069,2024,26,2024-09,0.04681157266548297
HINDALCO,676.2,2024-09-12 05:30:00,677.9,651.5,9,658.0,8594764,2024,12,2024-09,0.044001852709587785
SHRIRAMFIN,3574.7,2024-09-18 05:30:00,3589.95,3440.0,9,3444.5,2116495,2024,18,2024-09,0.04382993634293064
CIPLA,1551.75,2024-10-31 05:30:00,1565.95,1518.05,10,1560.05,17447689,2024,31,2024-10,0.0941300898995241
TRENT,8041.95,2024-10-08 05:30:00,8073.4,7451.0,10,7520.0,2278240,2024,8,2024-10,0.07952882743808298
LT,3622.3,2024-10-31 05:30:00,3654.95,3508.35,10,3530.0,7637083,2024,31,2024-10,0.06277230918186216
AXISBANK,1196.85,2024-10-18 05:30:00,1203.85,1156.05,10,1158.0,20829666,2024,18,2024-10,0.057428104430799154
SHRIRAMFIN,3259.3,2024-10-28 05:30:00,3344.15,3144.0,10,3164.0,4320596,2024,28,2024-10,0.05388582607149206
APOLLOHOSP,7424.85,2024-11-07 05:30:00,7483.9,7200.3,11,7316.5,2502817,2024,7,2024-11,0.06554871485770875
EICHERMOT,4883.7,2024-11-14 05:30:00,4973.0,4705.3,11,4725.45,2874648,2024,14,2024-11,0.06428836053784304
BEL,301.85,2024-11-06 05:30:00,304.3,287.2,11,287.5,52804364,2024,6,2024-11,0.05412956172516159
JSWSTEEL,999.5,2024-11-05 05:30:00,1003.0,952.0,11,954.9,5177028,2024,5,2024-11,0.0467064614095718
SBIN,816.05,2024-11-22 05:30:00,819.95,784.05,11,786.0,20665405,2024,22,2024-11,0.04521293627921863
